Symbol,Volume,Close,Change_%,Market_Cap_Est
MDLZ,10650300.0,63.93000030517578,-2.20284898409545,680873682.2502136
LYB,10554200.0,53.41999816894531,-7.176370326440651,563805344.6746826
TTD,9973800.0,86.08000183105469,2.476192656017485,858544722.2625732
SCHW,9790500.0,95.52999877929688,-0.7274286118855069,935286453.048706
MO,9688000.0,61.779998779296875,-0.6113273311583749,598524628.1738281
PARA,9686900.0,13.010000228881836,2.927214204978557,126026571.21715546
IBM,9681800.0,250.0500030517578,-0.5409492822645909,2420934119.546509
USB,9632900.0,43.939998626708984,-0.8574031379328093,423269612.771225
CL,9606700.0,83.51000213623047,-0.6069918200574266,802255537.5221252
GM,9539500.0,52.529998779296875,0.7286620178321548,501109923.35510254
DAL,9532800.0,51.150001525878906,-1.5020195931312823,487602734.54589844
